Championship,Team A,Team B,Score,Time
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري الإسباني,ريال مدريد,فالنسيا,2 - 0,22:00
الدوري الإسباني,سيلتا فيجو,الميريا,2 - 2,14:00
الدوري الإسباني,ريال مدريد,بلد الوليد,6 - 0,16:15
الدوري الإسباني,فياريال,ريال سوسيداد,2 - 0,18:30
الدوري الإسباني,اتلتيكو مدريد,ريال بيتيس,1 - 0,21:00
الكونفيدرالية الإفريقية,مازيمبي,يانج افريكانز,0 - 1,15:00
الكونفيدرالية الإفريقية,أسيك أبيدجـــــان,ريفرز يونايتد,1 - 0,18:00
الكونفيدرالية الإفريقية,ديابل نوار,موتيما بمبي,0 - 0,18:00
الكونفيدرالية الإفريقية,اتحاد العاصمة,الأخضر,4 - 1,22:00
الكونفيدرالية الإفريقية,مارومو جالانتس,سانت إيلوي لوبوبو,3 - 2,22:00
الكونفيدرالية الإفريقية,بيراميدز,مودرن فيوتشر,2 - 1,22:00
الكونفيدرالية الإفريقية,كارا,الجيش الملكي,1 - 1,22:00
الكونفيدرالية الإفريقية,الإتحاد المنستيري,ريال باماكو,2 - 1,22:00
الدوري الإسباني,برشلونة,أوساسونا,1 - 0,20:30
الدوري الإسباني,الميريا,إلتشي,2 - 1,20:30
الدوري الإسباني,ريال سوسيداد,ريال مدريد,2 - 0,23:00
الدوري الأفريقي لكرة السلة,سيتي أويلرز,سلاك,68 - 96,17:00
الدوري الأفريقي لكرة السلة,كيب تاون تايجرز,الأهلي,75 - 91,20:30
مباريات ودية -أندية,ميلان,برشلونة,0 - 1,06:00
مباريات ودية -أندية,ليفربول,بايرن ميونيخ,3 - 4,14:30
مباريات ودية -أندية,نانت,لوريان,1 - 3,19:30
مباريات ودية -أندية,أرسنال,موناكو,1 - 1,20:00
مباريات ودية -أندية,روما,فيرنسي,4 - 2,21:45
الدوري الإنجليزي,شيفيلد يونايتد,ايفرتون,2 - 2,14:30
الدوري الإنجليزي,مانشستر سيتي,فولهام,5 - 1,17:00
الدوري الإنجليزي,تشيلسي,نوتينجهام فورست,0 - 1,17:00
الدوري الإنجليزي,بيرنلي,توتنهام هوتسبر,2 - 5,17:00
الدوري الإنجليزي,برينتفورد,بورنموث,2 - 2,17:00
الدوري الإنجليزي,برايتون,نيوكاسل,3 - 1,19:30
الدوري الإسباني,ريال سوسيداد,غرناطه,5 - 3,15:00
الدوري الإسباني,ريال مدريد,خيتافي,2 - 1,17:15
الدوري الإسباني,ألافيس,فالنسيا,1 - 0,19:30
الدوري الإسباني,ريال بيتيس,رايو فاييكانو,1 - 0,22:00
الدوري السعودي,الفتح,أهلي جدة,5 - 1,21:00
الدوري السعودي,التعاون,الوحدة,4 - 1,21:00
الدوري السعودي,الشباب,الخليج,1 - 3,21:00
الدوري السعودي,الاتفـــــاق,ضمك,3 - 1,21:00
الدوري السعودي,الحزم,النصر,1 - 5,21:00
الدوري الإيطالي,أودينيزي,فروزينوني,0 - 0,19:30
الدوري الإيطالي,بولونيا,كالياري,2 - 1,19:30
الدوري الإيطالي,نابولي,لاتسيو,1 - 2,21:45
الدوري الإيطالي,أتالانتا,مونزا,3 - 0,21:45
الدوري الألماني,باير ليفركوزن,دارمشتات,5 - 1,16:30
الدوري الألماني,هوفنهايم,فولفسبورج,3 - 1,16:30
الدوري الألماني,شتوتجارت,فرايبورج,5 - 0,16:30
الدوري الألماني,أوجسبورج,بوخوم,2 - 2,16:30
الدوري الألماني,فيردر بريمن,ماينز,4 - 0,16:30
الدوري الألماني,مونشنجلادباخ,بايرن ميونيخ,1 - 2,19:30
الدوري الفرنسي,بريست,رين,0 - 0,18:00
الدوري الفرنسي,موناكو,لانس,3 - 0,22:00
الدوري المغربي,نهضة الزمامرة,يوسفية برشيد,1 - 0,21:15
الدوري المغربي,مولودية وجدة,الاتحاد التوركي,1 - 3,22:30
الدوري المغربي,المغرب التطواني,أولمبيك آسفي,0 - 0,22:30
الدوري التركي,إسطنبول باشاكشهير,قونيا سبور,0 - 1,19:15
الدوري التركي,بينديكسبور,ألانيا سبور,1 - 1,19:15
الدوري التركي,غازي عنتاب بي.بي.كي,جالاتا سراي,0 - 3,21:45
الدوري التركي,انطاليا سبور,قيصري سبور,1 - 1,21:45
الدوري التونسي,الإتحاد المنستيري,مستقبل المرسى,3 - 1,18:00
الدوري التونسي,الصفاقســــي,اتحاد تطاوين,3 - 0,18:00
الدوري التونسي,الترجى الرياضي,النجم الرياضي بالمتلوي,3 - 2,18:00
الدوري البرتغالي,كازا بيا,ريو آفي,1 - 1,17:30
الدوري البرتغالي,بورتيمونينسي,إستريلا,1 - 1,20:00
الدوري البرتغالي,فاماليكاو,فيرنسي,1 - 0,20:00
الدوري البرتغالي,بنفيكا,فيتوريا جيماريش,4 - 0,22:30
دوري نجوم قطر,العربي,الدحيل,3 - 3,18:15
دوري نجوم قطر,السد القطري,الوكرة,0 - 0,20:15
دوري نجوم قطر,الشمال,الريان,3 - 4,20:15
البطولة العربية للأندية لكرة السلة,نادي السيب,الأهلي القطري,75 - 58,14:00
البطولة العربية للأندية لكرة السلة,دجلة الجامعة العراقي,نادي مجد طنجة,95 - 74,14:00
البطولة العربية للأندية لكرة السلة,الاتحاد السكندري,نادي اتحاد الجزائر,89 - 53,16:30
البطولة العربية للأندية لكرة السلة,نادي الاتحاد الليبي,الأهلي,55 - 65,16:30
البطولة العربية للأندية لكرة السلة,الكويت الكويتي,نادي المحرق,82 - 61,19:00
البطولة العربية للأندية لكرة السلة,نادي وحدة صنعاء,نادي جمعية سلا,64 - 96,19:00
بطولة إفريقيا للأندية لكرة اليد,ريد ستار,نزيكو الكاميروني,29 - 25,14:00
بطولة إفريقيا للأندية لكرة اليد,بي إم سي,فاب الكاميروني,21 - 29,14:00
بطولة إفريقيا للأندية لكرة اليد,بترو سبورت,أدجيدجا,26 - 35,16:00
بطولة إفريقيا للأندية لكرة اليد,الأهلي,كينشاسا,42 - 30,20:00
تصفيات الأولمبياد - كرة طائرة,إيران,أوكرانيا,0 - 3,02:30
دوري أبطال أفريقيا,شباب بلوزداد,بو رينجرز,3 - 1,20:00
الدوري الإنجليزي,فولهام,تشيلسي,0 - 2,22:00
الدوري الإسباني,لاس بالماس,سيلتا فيجو,2 - 1,22:00
دوري أبطال آسيا,اجمك اف سي,القوة الجوية,1 - 2,15:00
دوري أبطال آسيا,الشــارقة,الفيصلى,1 - 0,19:00
دوري أبطال آسيا,ناساف كارشي,السد القطري,3 - 1,19:00
دوري أبطال آسيا,سباهان اصفهان,الاتحاد,0 - 3,19:30
دوري أبطال آسيا,النصر,استقلول دوشنبه,3 - 1,21:00
دوري أبطال آسيا,الدحيل,بيرسبوليس,0 - 1,21:00
الدوري الإيطالي,تورينو,هيلاس فيرونا,0 - 0,19:30
الدوري الإيطالي,ساسولو,مونزا,0 - 1,19:30
الدوري الإيطالي,فيورنتينا,كالياري,3 - 0,21:45
دوري القسم الثاني-أ,بترول أسيوط,بروكسي,0 - 1,16:00
دوري القسم الثاني-أ,مصر المقاصة,السكة الحديد,0 - 1,16:00
دوري القسم الثاني-أ,مكادي,دكرنس,1 - 3,16:00
دوري القسم الثاني-أ,أسوان,النجوم,3 - 0,16:00
الدوري التركي,قيصري سبور,إسطنبول باشاكشهير,0 - 0,20:00
الدوري البرتغالي,جل فيسنتي,كازا بيا,2 - 0,22:15
دوري نجوم قطر,السد القطري,المرخية الرياضي,5 - 0,16:30
دوري نجوم قطر,معيذر,ام صلال,1 - 3,16:30
دوري نجوم قطر,الدحيل,الريان,3 - 2,18:30
الدوري الإماراتي,الجــزيرة,الشــارقة,1 - 1,14:45
الدوري الإماراتي,الوصل,العين,3 - 1,17:30
دوري أبطال أفريقيا,مازيمبي,ماميلودي صنداونز,1 - 0,15:00
دوري أبطال أفريقيا,جوانينج جالاكسي,سيمبا,0 - 0,15:00
دوري أبطال أفريقيا,يانج افريكانز,الأهلي,1 - 1,18:00
دوري أبطال أفريقيا,إف سي نواذيبو,بيراميدز,2 - 0,18:01
دوري أبطال أفريقيا,أسيك أبيدجـــــان,الوداد البيضاوي,1 - 0,21:00
دوري أبطال أفريقيا,النجم الساحلى,بترو أتليتكو,0 - 2,21:00
الدوري الإنجليزي,برينتفورد,لوتون تاون,3 - 1,17:00
الدوري الإنجليزي,بيرنلي,شيفيلد يونايتد,5 - 0,17:00
الدوري الإنجليزي,أرسنال,وولفرهامبتون,2 - 1,17:00
الدوري الإنجليزي,نوتينجهام فورست,ايفرتون,0 - 1,19:30
الدوري الإنجليزي,نيوكاسل,مانشستر يونايتد,1 - 0,22:00
الدوري الإسباني,جيرونا,فالنسيا,2 - 1,15:00
الدوري الإسباني,أتلتيك بلباو,رايو فاييكانو,4 - 0,17:15
الدوري الإسباني,ريال مدريد,غرناطه,2 - 0,19:30
الدوري الإسباني,أوساسونا,ريال سوسيداد,1 - 1,22:00
الدوري السعودي,الفتح,الطــائي,0 - 1,17:00
الدوري السعودي,الأخدود,الاتفـــــاق,1 - 0,17:00
الدوري السعودي,الشباب,التعاون,1 - 2,20:00
الدوري السعودي,الرائد,الوحدة,2 - 0,20:00
الدوري الإيطالي,جنوى,إمبولي,1 - 1,16:00
الدوري الإيطالي,لاتسيو,كالياري,1 - 0,19:00
الدوري الإيطالي,ميلان,فروزينوني,3 - 1,21:45
الدوري الألماني,بوخوم,فولفسبورج,3 - 1,16:30
الدوري الألماني,لايبزيج,هايدنهايم,2 - 1,16:30
الدوري الألماني,مونشنجلادباخ,هوفنهايم,2 - 1,16:30
الدوري الألماني,شتوتجارت,فيردر بريمن,2 - 0,19:30
الدوري الفرنسي,لانس,ليون,3 - 2,18:00
الدوري الفرنسي,نانت,نيس,1 - 0,22:00
الدوري التركي,ألانيا سبور,قونيا سبور,2 - 2,12:30
الدوري التركي,ريزه سبور,إسطنبول باشاكشهير,3 - 2,15:00
الدوري التركي,أضنة دمير سبور,سامسون سبور,2 - 3,18:00
الدوري التركي,بينديكسبور,جالاتا سراي,0 - 2,18:00
الدوري البرتغالي,فيرنسي,فيتوريا جيماريش,1 - 2,17:30
الدوري البرتغالي,ريو آفي,إستريلا,1 - 1,17:30
الدوري البرتغالي,فاماليكاو,بورتو,0 - 3,20:00
الدوري البرتغالي,كازا بيا,بورتيمونينسي,1 - 0,22:30
دوري نجوم قطر,الغرافة,الوكرة,1 - 1,16:30
دوري نجوم قطر,نادي قطر,معيذر,3 - 2,16:30
دوري نجوم قطر,الأهلي القطري,الريان,0 - 4,18:30
الدوري الإماراتي,الوصل,البطائح,4 - 1,14:45
الدوري الإماراتي,بني ياس,الجــزيرة,1 - 4,17:30
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
